,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,-0.9873866535578852,1,0,-2.136069546678648,S,Third,man,True,Southampton,no,False,1
2,1,3,female,-0.7963314167951762,0,0,-2.0470486957818874,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,-0.46608972992459924,1,0,-0.1448940872973386,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,-0.46608972992459924,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
5,0,3,male,-0.6471951147908197,0,0,-1.9819228077458548,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,0.0,0,0,-0.16847502988624555,S,First,man,True,Southampton,no,True,0
8,1,3,female,-0.7537718023763802,0,2,-1.7071303982471446,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,-1.5339303599259553,1,0,-0.7135164143093983,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,-3.9318256327243257,1,1,-1.3016622961225222,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,-1.0986122886681098,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
13,0,3,male,-0.34830669426821587,1,5,-0.674251959192257,S,Third,man,True,Southampton,no,False,6
14,0,3,female,-1.5339303599259553,0,0,-2.0560225949822875,S,Third,child,False,Southampton,no,True,0
17,1,2,male,-0.6471951147908197,0,0,-1.552121658083695,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,-0.5996211225491219,1,0,-1.226699257649067,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,-0.6471951147908197,0,0,-2.139523781546736,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,-0.46608972992459924,0,0,-0.8589744775237497,S,Second,man,True,Southampton,no,True,0
21,1,2,male,-0.4978384282391796,0,0,-1.552121658083695,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,-1.4469189829363254,0,0,-2.0339861189505974,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,-0.7129498078561249,0,0,-0.5475383190638616,S,First,man,True,Southampton,yes,True,0
24,0,3,female,-2.322387720290225,3,1,-1.0689835116573125,S,Third,child,False,Southampton,no,False,4
25,1,3,female,-0.3764775712349121,1,5,-0.6706612910615284,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,-0.6471951147908197,0,0,-2.139523781546736,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,-0.6471951147908197,0,0,-2.0528446396718762,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,-0.6471951147908197,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
30,0,1,male,-0.3209077200801014,0,0,-0.7948879816111118,C,First,man,True,Cherbourg,no,True,0
32,1,3,female,-0.6471951147908197,0,0,-2.069378172179976,Q,Third,woman,False,Queenstown,yes,True,0
35,0,1,male,-0.2682639865946794,1,0,-0.16582729696380435,S,First,man,True,Southampton,no,False,1
36,1,3,male,-0.6471951147908197,0,0,-2.1389426355658854,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,-1.0414538748281612,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
38,0,3,female,-1.2237754316221159,2,0,-1.226699257649067,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,-1.5339303599259553,1,0,-1.6974409369645407,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,-0.3209077200801014,1,0,-1.8684142645767419,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,-0.7537718023763802,1,0,-1.0725485778218087,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,-0.6471951147908197,0,0,-2.0507400430154914,C,Third,man,True,Cherbourg,no,True,0
43,1,2,female,-inf,1,2,-0.38947097331969643,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,-1.1592369104845446,0,0,-2.0528446396718762,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,-0.6471951147908197,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
46,0,3,male,-0.6471951147908197,1,0,-1.3762309916200308,Q,Third,man,True,Queenstown,no,False,1
48,0,3,male,-0.6471951147908197,2,0,-1.0407177400236254,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,-1.2237754316221159,1,0,-1.2378725582471921,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,-2.545531271604435,4,1,-0.43603473889232136,S,Third,child,False,Southampton,no,False,5
51,0,3,male,-1.0414538748281612,0,0,-2.0629472818496857,S,Third,man,True,Southampton,no,True,0
53,1,2,female,-0.6737290947028438,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
55,1,1,male,-0.6471951147908197,0,0,-0.5475383190638616,S,First,man,True,Southampton,yes,True,0
56,1,2,female,-1.0414538748281612,0,0,-1.765695758381754,S,Second,woman,False,Southampton,yes,True,0
